risk_value,date,daily_variation,trend
790,1999-02-01,-147.0,Decrease
769,1999-02-02,-21.0,Decrease
772,1999-02-03,3.0,Increase
777,1999-02-04,5.0,Increase
784,1999-02-05,7.0,Increase
810,1999-02-08,26.0,Increase
815,1999-02-09,5.0,Increase
795,1999-02-10,-20.0,Decrease
759,1999-02-11,-36.0,Decrease
742,1999-02-12,-17.0,Decrease
751,1999-02-15,9.0,Increase
724,1999-02-16,-27.0,Decrease
747,1999-02-17,23.0,Increase
753,1999-02-18,6.0,Increase
747,1999-02-19,-6.0,Decrease
762,1999-02-22,15.0,Increase
766,1999-02-23,4.0,Increase
767,1999-02-24,1.0,Increase
775,1999-02-25,8.0,Increase
786,1999-02-26,11.0,Increase
766,1999-03-01,-20.0,Decrease
799,1999-03-02,33.0,Increase
780,1999-03-03,-19.0,Decrease
748,1999-03-04,-32.0,Decrease
744,1999-03-05,-4.0,Decrease
742,1999-03-08,-2.0,Decrease
738,1999-03-09,-4.0,Decrease
716,1999-03-10,-22.0,Decrease
719,1999-03-11,3.0,Increase
709,1999-03-12,-10.0,Decrease
687,1999-03-15,-22.0,Decrease
700,1999-03-16,13.0,Increase
697,1999-03-17,-3.0,Decrease
689,1999-03-18,-8.0,Decrease
683,1999-03-19,-6.0,Decrease
682,1999-03-22,-1.0,Decrease
704,1999-03-23,22.0,Increase
698,1999-03-24,-6.0,Decrease
687,1999-03-25,-11.0,Decrease
689,1999-03-26,2.0,Increase
693,1999-03-29,4.0,Increase
696,1999-03-30,3.0,Increase
683,1999-03-31,-13.0,Decrease
661,1999-04-01,-22.0,Decrease
672,1999-04-02,11.0,Increase
660,1999-04-05,-12.0,Decrease
669,1999-04-06,9.0,Increase
643,1999-04-07,-26.0,Decrease
641,1999-04-08,-2.0,Decrease
641,1999-04-09,0.0,No Change
615,1999-04-12,-26.0,Decrease
611,1999-04-13,-4.0,Decrease
621,1999-04-14,10.0,Increase
623,1999-04-15,2.0,Increase
597,1999-04-16,-26.0,Decrease
612,1999-04-19,15.0,Increase
608,1999-04-20,-4.0,Decrease
597,1999-04-21,-11.0,Decrease
603,1999-04-22,6.0,Increase
622,1999-04-23,19.0,Increase
607,1999-04-26,-15.0,Decrease
615,1999-04-27,8.0,Increase
635,1999-04-28,20.0,Increase
621,1999-04-29,-14.0,Decrease
589,1999-04-30,-32.0,Decrease
585,1999-05-03,-4.0,Decrease
587,1999-05-04,2.0,Increase
591,1999-05-05,4.0,Increase
586,1999-05-06,-5.0,Decrease
576,1999-05-07,-10.0,Decrease
581,1999-05-10,5.0,Increase
610,1999-05-11,29.0,Increase
613,1999-05-12,3.0,Increase
623,1999-05-13,10.0,Increase
620,1999-05-14,-3.0,Decrease
657,1999-05-17,37.0,Increase
658,1999-05-18,1.0,Increase
718,1999-05-19,60.0,Increase
746,1999-05-20,28.0,Increase
775,1999-05-21,29.0,Increase
820,1999-05-24,45.0,Increase
806,1999-05-25,-14.0,Decrease
734,1999-05-26,-72.0,Decrease
783,1999-05-27,49.0,Increase
778,1999-05-28,-5.0,Decrease
790,1999-06-01,12.0,Increase
776,1999-06-02,-14.0,Decrease
770,1999-06-03,-6.0,Decrease
751,1999-06-04,-19.0,Decrease
738,1999-06-07,-13.0,Decrease
743,1999-06-08,5.0,Increase
750,1999-06-09,7.0,Increase
753,1999-06-10,3.0,Increase
768,1999-06-11,15.0,Increase
764,1999-06-14,-4.0,Decrease
754,1999-06-15,-10.0,Decrease
723,1999-06-16,-31.0,Decrease
729,1999-06-17,6.0,Increase
735,1999-06-18,6.0,Increase
726,1999-06-21,-9.0,Decrease
749,1999-06-22,23.0,Increase
732,1999-06-23,-17.0,Decrease
733,1999-06-24,1.0,Increase
745,1999-06-25,12.0,Increase
770,1999-06-28,25.0,Increase
761,1999-06-29,-9.0,Decrease
760,1999-06-30,-1.0,Decrease
777,1999-07-01,17.0,Increase
778,1999-07-02,1.0,Increase
779,1999-07-05,1.0,Increase
781,1999-07-06,2.0,Increase
789,1999-07-07,8.0,Increase
847,1999-07-08,58.0,Increase
890,1999-07-09,43.0,Increase
947,1999-07-12,57.0,Increase
923,1999-07-13,-24.0,Decrease
870,1999-07-14,-53.0,Decrease
890,1999-07-15,20.0,Increase
879,1999-07-16,-11.0,Decrease
868,1999-07-19,-11.0,Decrease
882,1999-07-20,14.0,Increase
888,1999-07-21,6.0,Increase
873,1999-07-22,-15.0,Decrease
885,1999-07-23,12.0,Increase
896,1999-07-26,11.0,Increase
887,1999-07-27,-9.0,Decrease
873,1999-07-28,-14.0,Decrease
856,1999-07-29,-17.0,Decrease
848,1999-07-30,-8.0,Decrease
874,1999-08-02,26.0,Increase
894,1999-08-03,20.0,Increase
907,1999-08-04,13.0,Increase
909,1999-08-05,2.0,Increase
905,1999-08-06,-4.0,Decrease
901,1999-08-09,-4.0,Decrease
900,1999-08-10,-1.0,Decrease
886,1999-08-11,-14.0,Decrease
853,1999-08-12,-33.0,Decrease
840,1999-08-13,-13.0,Decrease
833,1999-08-16,-7.0,Decrease
808,1999-08-17,-25.0,Decrease
837,1999-08-18,29.0,Increase
853,1999-08-19,16.0,Increase
852,1999-08-20,-1.0,Decrease
845,1999-08-23,-7.0,Decrease
845,1999-08-24,0.0,No Change
812,1999-08-25,-33.0,Decrease
811,1999-08-26,-1.0,Decrease
789,1999-08-27,-22.0,Decrease
786,1999-08-30,-3.0,Decrease
764,1999-08-31,-22.0,Decrease
763,1999-09-01,-1.0,Decrease
769,1999-09-02,6.0,Increase
765,1999-09-03,-4.0,Decrease
759,1999-09-06,-6.0,Decrease
739,1999-09-07,-20.0,Decrease
734,1999-09-08,-5.0,Decrease
706,1999-09-09,-28.0,Decrease
684,1999-09-10,-22.0,Decrease
689,1999-09-13,5.0,Increase
691,1999-09-14,2.0,Increase
704,1999-09-15,13.0,Increase
714,1999-09-16,10.0,Increase
701,1999-09-17,-13.0,Decrease
687,1999-09-20,-14.0,Decrease
705,1999-09-21,18.0,Increase
700,1999-09-22,-5.0,Decrease
694,1999-09-23,-6.0,Decrease
693,1999-09-24,-1.0,Decrease
680,1999-09-27,-13.0,Decrease
681,1999-09-28,1.0,Increase
669,1999-09-29,-12.0,Decrease
677,1999-09-30,8.0,Increase
668,1999-10-01,-9.0,Decrease
653,1999-10-04,-15.0,Decrease
658,1999-10-05,5.0,Increase
645,1999-10-06,-13.0,Decrease
642,1999-10-07,-3.0,Decrease
645,1999-10-08,3.0,Increase
644,1999-10-11,-1.0,Decrease
669,1999-10-12,25.0,Increase
677,1999-10-13,8.0,Increase
672,1999-10-14,-5.0,Decrease
696,1999-10-15,24.0,Increase
688,1999-10-18,-8.0,Decrease
671,1999-10-19,-17.0,Decrease
662,1999-10-20,-9.0,Decrease
639,1999-10-21,-23.0,Decrease
613,1999-10-22,-26.0,Decrease
620,1999-10-25,7.0,Increase
607,1999-10-26,-13.0,Decrease
621,1999-10-27,14.0,Increase
564,1999-10-28,-57.0,Decrease
635,1999-10-29,71.0,Increase
628,1999-11-01,-7.0,Decrease
629,1999-11-02,1.0,Increase
633,1999-11-03,4.0,Increase
618,1999-11-04,-15.0,Decrease
622,1999-11-05,4.0,Increase
615,1999-11-08,-7.0,Decrease
614,1999-11-09,-1.0,Decrease
617,1999-11-10,3.0,Increase
616,1999-11-11,-1.0,Decrease
617,1999-11-12,1.0,Increase
628,1999-11-15,11.0,Increase
620,1999-11-16,-8.0,Decrease
647,1999-11-17,27.0,Increase
642,1999-11-18,-5.0,Decrease
667,1999-11-19,25.0,Increase
652,1999-11-22,-15.0,Decrease
645,1999-11-23,-7.0,Decrease
641,1999-11-24,-4.0,Decrease
631,1999-11-25,-10.0,Decrease
641,1999-11-26,10.0,Increase
630,1999-11-29,-11.0,Decrease
657,1999-11-30,27.0,Increase
656,1999-12-01,-1.0,Decrease
646,1999-12-02,-10.0,Decrease
629,1999-12-03,-17.0,Decrease
633,1999-12-06,4.0,Increase
618,1999-12-07,-15.0,Decrease
620,1999-12-08,2.0,Increase
615,1999-12-09,-5.0,Decrease
607,1999-12-10,-8.0,Decrease
584,1999-12-13,-23.0,Decrease
580,1999-12-14,-4.0,Decrease
567,1999-12-15,-13.0,Decrease
570,1999-12-16,3.0,Increase
566,1999-12-17,-4.0,Decrease
570,1999-12-20,4.0,Increase
543,1999-12-21,-27.0,Decrease
547,1999-12-22,4.0,Increase
545,1999-12-23,-2.0,Decrease
546,1999-12-24,1.0,Increase
549,1999-12-27,3.0,Increase
544,1999-12-28,-5.0,Decrease
542,1999-12-29,-2.0,Decrease
544,1999-12-30,2.0,Increase
531,1999-12-31,-13.0,Decrease
509,2000-01-03,-22.0,Decrease
558,2000-01-04,49.0,Increase
540,2000-01-05,-18.0,Decrease
566,2000-01-06,26.0,Increase
558,2000-01-07,-8.0,Decrease
558,2000-01-10,0.0,No Change
560,2000-01-11,2.0,Increase
561,2000-01-12,1.0,Increase
551,2000-01-13,-10.0,Decrease
545,2000-01-14,-6.0,Decrease
540,2000-01-18,-5.0,Decrease
546,2000-01-19,6.0,Increase
548,2000-01-20,2.0,Increase
545,2000-01-21,-3.0,Decrease
558,2000-01-24,13.0,Increase
561,2000-01-25,3.0,Increase
567,2000-01-26,6.0,Increase
571,2000-01-27,4.0,Increase
592,2000-01-28,21.0,Increase
593,2000-01-31,1.0,Increase
583,2000-02-01,-10.0,Decrease
588,2000-02-02,5.0,Increase
595,2000-02-03,7.0,Increase
569,2000-02-04,-26.0,Decrease
547,2000-02-07,-22.0,Decrease
549,2000-02-08,2.0,Increase
549,2000-02-09,0.0,No Change
544,2000-02-10,-5.0,Decrease
551,2000-02-11,7.0,Increase
553,2000-02-14,2.0,Increase
548,2000-02-15,-5.0,Decrease
551,2000-02-16,3.0,Increase
550,2000-02-17,-1.0,Decrease
563,2000-02-18,13.0,Increase
581,2000-02-22,18.0,Increase
562,2000-02-23,-19.0,Decrease
568,2000-02-24,6.0,Increase
560,2000-02-25,-8.0,Decrease
548,2000-02-28,-12.0,Decrease
545,2000-02-29,-3.0,Decrease
550,2000-03-01,5.0,Increase
531,2000-03-02,-19.0,Decrease
524,2000-03-03,-7.0,Decrease
530,2000-03-06,6.0,Increase
530,2000-03-07,0.0,No Change
528,2000-03-08,-2.0,Decrease
527,2000-03-09,-1.0,Decrease
526,2000-03-10,-1.0,Decrease
537,2000-03-13,11.0,Increase
541,2000-03-14,4.0,Increase
548,2000-03-15,7.0,Increase
547,2000-03-16,-1.0,Decrease
542,2000-03-17,-5.0,Decrease
540,2000-03-20,-2.0,Decrease
539,2000-03-21,-1.0,Decrease
535,2000-03-22,-4.0,Decrease
536,2000-03-23,1.0,Increase
524,2000-03-24,-12.0,Decrease
522,2000-03-27,-2.0,Decrease
535,2000-03-28,13.0,Increase
545,2000-03-29,10.0,Increase
570,2000-03-30,25.0,Increase
570,2000-03-31,0.0,No Change
579,2000-04-03,9.0,Increase
595,2000-04-04,16.0,Increase
601,2000-04-05,6.0,Increase
592,2000-04-06,-9.0,Decrease
594,2000-04-07,2.0,Increase
607,2000-04-10,13.0,Increase
601,2000-04-11,-6.0,Decrease
599,2000-04-12,-2.0,Decrease
602,2000-04-13,3.0,Increase
618,2000-04-14,16.0,Increase
598,2000-04-17,-20.0,Decrease
578,2000-04-18,-20.0,Decrease
595,2000-04-19,17.0,Increase
596,2000-04-20,1.0,Increase
598,2000-04-21,2.0,Increase
567,2000-04-25,-31.0,Decrease
573,2000-04-26,6.0,Increase
570,2000-04-27,-3.0,Decrease
570,2000-04-28,0.0,No Change
560,2000-05-01,-10.0,Decrease
568,2000-05-02,8.0,Increase
578,2000-05-03,10.0,Increase
588,2000-05-04,10.0,Increase
600,2000-05-05,12.0,Increase
605,2000-05-08,5.0,Increase
629,2000-05-09,24.0,Increase
672,2000-05-10,43.0,Increase
695,2000-05-11,23.0,Increase
712,2000-05-12,17.0,Increase
718,2000-05-15,6.0,Increase
711,2000-05-16,-7.0,Decrease
712,2000-05-17,1.0,Increase
713,2000-05-18,1.0,Increase
757,2000-05-19,44.0,Increase
762,2000-05-22,5.0,Increase
770,2000-05-23,8.0,Increase
727,2000-05-24,-43.0,Decrease
731,2000-05-25,4.0,Increase
725,2000-05-26,-6.0,Decrease
719,2000-05-29,-6.0,Decrease
690,2000-05-30,-29.0,Decrease
703,2000-05-31,13.0,Increase
689,2000-06-01,-14.0,Decrease
646,2000-06-02,-43.0,Decrease
656,2000-06-05,10.0,Increase
679,2000-06-06,23.0,Increase
672,2000-06-07,-7.0,Decrease
667,2000-06-08,-5.0,Decrease
662,2000-06-09,-5.0,Decrease
668,2000-06-12,6.0,Increase
651,2000-06-13,-17.0,Decrease
645,2000-06-14,-6.0,Decrease
657,2000-06-15,12.0,Increase
663,2000-06-16,6.0,Increase
659,2000-06-19,-4.0,Decrease
661,2000-06-20,2.0,Increase
652,2000-06-21,-9.0,Decrease
680,2000-06-22,28.0,Increase
685,2000-06-23,5.0,Increase
691,2000-06-26,6.0,Increase
686,2000-06-27,-5.0,Decrease
679,2000-06-28,-7.0,Decrease
688,2000-06-29,9.0,Increase
687,2000-06-30,-1.0,Decrease
670,2000-07-03,-17.0,Decrease
672,2000-07-04,2.0,Increase
658,2000-07-05,-14.0,Decrease
647,2000-07-06,-11.0,Decrease
652,2000-07-07,5.0,Increase
651,2000-07-10,-1.0,Decrease
652,2000-07-11,1.0,Increase
636,2000-07-12,-16.0,Decrease
632,2000-07-13,-4.0,Decrease
621,2000-07-14,-11.0,Decrease
620,2000-07-17,-1.0,Decrease
630,2000-07-18,10.0,Increase
637,2000-07-19,7.0,Increase
644,2000-07-20,7.0,Increase
642,2000-07-21,-2.0,Decrease
639,2000-07-24,-3.0,Decrease
639,2000-07-25,0.0,No Change
644,2000-07-26,5.0,Increase
652,2000-07-27,8.0,Increase
654,2000-07-28,2.0,Increase
650,2000-07-31,-4.0,Decrease
665,2000-08-01,15.0,Increase
669,2000-08-02,4.0,Increase
665,2000-08-03,-4.0,Decrease
662,2000-08-04,-3.0,Decrease
664,2000-08-07,2.0,Increase
674,2000-08-08,10.0,Increase
655,2000-08-09,-19.0,Decrease
668,2000-08-10,13.0,Increase
658,2000-08-11,-10.0,Decrease
660,2000-08-14,2.0,Increase
686,2000-08-15,26.0,Increase
684,2000-08-16,-2.0,Decrease
696,2000-08-17,12.0,Increase
717,2000-08-18,21.0,Increase
726,2000-08-21,9.0,Increase
710,2000-08-22,-16.0,Decrease
716,2000-08-23,6.0,Increase
713,2000-08-24,-3.0,Decrease
701,2000-08-25,-12.0,Decrease
701,2000-08-28,0.0,No Change
701,2000-08-29,0.0,No Change
691,2000-08-30,-10.0,Decrease
686,2000-08-31,-5.0,Decrease
669,2000-09-01,-17.0,Decrease
674,2000-09-05,5.0,Increase
654,2000-09-06,-20.0,Decrease
664,2000-09-07,10.0,Increase
667,2000-09-08,3.0,Increase
673,2000-09-11,6.0,Increase
684,2000-09-12,11.0,Increase
682,2000-09-13,-2.0,Decrease
674,2000-09-14,-8.0,Decrease
677,2000-09-15,3.0,Increase
690,2000-09-18,13.0,Increase
696,2000-09-19,6.0,Increase
694,2000-09-20,-2.0,Decrease
702,2000-09-21,8.0,Increase
682,2000-09-22,-20.0,Decrease
686,2000-09-25,4.0,Increase
690,2000-09-26,4.0,Increase
681,2000-09-27,-9.0,Decrease
668,2000-09-28,-13.0,Decrease
673,2000-09-29,5.0,Increase
675,2000-10-02,2.0,Increase
663,2000-10-03,-12.0,Decrease
655,2000-10-04,-8.0,Decrease
658,2000-10-05,3.0,Increase
685,2000-10-06,27.0,Increase
686,2000-10-09,1.0,Increase
692,2000-10-10,6.0,Increase
695,2000-10-11,3.0,Increase
719,2000-10-12,24.0,Increase
733,2000-10-13,14.0,Increase
736,2000-10-16,3.0,Increase
774,2000-10-17,38.0,Increase
787,2000-10-18,13.0,Increase
776,2000-10-19,-11.0,Decrease
820,2000-10-20,44.0,Increase
828,2000-10-23,8.0,Increase
850,2000-10-24,22.0,Increase
894,2000-10-25,44.0,Increase
846,2000-10-26,-48.0,Decrease
832,2000-10-27,-14.0,Decrease
833,2000-10-30,1.0,Increase
816,2000-10-31,-17.0,Decrease
826,2000-11-01,10.0,Increase
839,2000-11-02,13.0,Increase
886,2000-11-03,47.0,Increase
910,2000-11-06,24.0,Increase
915,2000-11-07,5.0,Increase
992,2000-11-08,77.0,Increase
943,2000-11-09,-49.0,Decrease
868,2000-11-10,-75.0,Decrease
847,2000-11-13,-21.0,Decrease
826,2000-11-14,-21.0,Decrease
803,2000-11-15,-23.0,Decrease
834,2000-11-16,31.0,Increase
841,2000-11-17,7.0,Increase
813,2000-11-20,-28.0,Decrease
823,2000-11-21,10.0,Increase
845,2000-11-22,22.0,Increase
863,2000-11-23,18.0,Increase
840,2000-11-24,-23.0,Decrease
852,2000-11-27,12.0,Increase
865,2000-11-28,13.0,Increase
848,2000-11-29,-17.0,Decrease
855,2000-11-30,7.0,Increase
848,2000-12-01,-7.0,Decrease
845,2000-12-04,-3.0,Decrease
841,2000-12-05,-4.0,Decrease
833,2000-12-06,-8.0,Decrease
822,2000-12-07,-11.0,Decrease
812,2000-12-08,-10.0,Decrease
794,2000-12-11,-18.0,Decrease
810,2000-12-12,16.0,Increase
824,2000-12-13,14.0,Increase
830,2000-12-14,6.0,Increase
813,2000-12-15,-17.0,Decrease
805,2000-12-18,-8.0,Decrease
777,2000-12-19,-28.0,Decrease
790,2000-12-20,13.0,Increase
791,2000-12-21,1.0,Increase
779,2000-12-22,-12.0,Decrease
772,2000-12-26,-7.0,Decrease
769,2000-12-27,-3.0,Decrease
765,2000-12-28,-4.0,Decrease
766,2000-12-29,1.0,Increase
792,2001-01-02,26.0,Increase
728,2001-01-03,-64.0,Decrease
727,2001-01-04,-1.0,Decrease
740,2001-01-05,13.0,Increase
737,2001-01-08,-3.0,Decrease
720,2001-01-09,-17.0,Decrease
712,2001-01-10,-8.0,Decrease
706,2001-01-11,-6.0,Decrease
695,2001-01-12,-11.0,Decrease
696,2001-01-15,1.0,Increase
701,2001-01-16,5.0,Increase
691,2001-01-17,-10.0,Decrease
696,2001-01-18,5.0,Increase
700,2001-01-19,4.0,Increase
691,2001-01-22,-9.0,Decrease
678,2001-01-23,-13.0,Decrease
676,2001-01-24,-2.0,Decrease
683,2001-01-25,7.0,Increase
672,2001-01-26,-11.0,Decrease
654,2001-01-29,-18.0,Decrease
664,2001-01-30,10.0,Increase
670,2001-01-31,6.0,Increase
660,2001-02-01,-10.0,Decrease
658,2001-02-02,-2.0,Decrease
665,2001-02-05,7.0,Increase
675,2001-02-06,10.0,Increase
678,2001-02-07,3.0,Increase
682,2001-02-08,4.0,Increase
683,2001-02-09,1.0,Increase
690,2001-02-12,7.0,Increase
684,2001-02-13,-6.0,Decrease
676,2001-02-14,-8.0,Decrease
676,2001-02-15,0.0,No Change
698,2001-02-16,22.0,Increase
698,2001-02-19,0.0,No Change
720,2001-02-20,22.0,Increase
739,2001-02-21,19.0,Increase
732,2001-02-22,-7.0,Decrease
741,2001-02-23,9.0,Increase
759,2001-02-26,18.0,Increase
796,2001-02-27,37.0,Increase
793,2001-02-28,-3.0,Decrease
789,2001-03-01,-4.0,Decrease
767,2001-03-02,-22.0,Decrease
725,2001-03-05,-42.0,Decrease
725,2001-03-06,0.0,No Change
733,2001-03-07,8.0,Increase
761,2001-03-08,28.0,Increase
736,2001-03-09,-25.0,Decrease
769,2001-03-12,33.0,Increase
777,2001-03-13,8.0,Increase
798,2001-03-14,21.0,Increase
837,2001-03-15,39.0,Increase
850,2001-03-16,13.0,Increase
898,2001-03-19,48.0,Increase
886,2001-03-20,-12.0,Decrease
898,2001-03-21,12.0,Increase
964,2001-03-22,66.0,Increase
984,2001-03-23,20.0,Increase
928,2001-03-26,-56.0,Decrease
899,2001-03-27,-29.0,Decrease
898,2001-03-28,-1.0,Decrease
918,2001-03-29,20.0,Increase
945,2001-03-30,27.0,Increase
944,2001-04-02,-1.0,Decrease
946,2001-04-03,2.0,Increase
939,2001-04-04,-7.0,Decrease
916,2001-04-05,-23.0,Decrease
897,2001-04-06,-19.0,Decrease
862,2001-04-09,-35.0,Decrease
831,2001-04-10,-31.0,Decrease
852,2001-04-11,21.0,Increase
857,2001-04-12,5.0,Increase
899,2001-04-16,42.0,Increase
889,2001-04-17,-10.0,Decrease
896,2001-04-18,7.0,Increase
937,2001-04-19,41.0,Increase
1046,2001-04-20,109.0,Increase
1284,2001-04-23,238.0,Increase
1195,2001-04-24,-89.0,Decrease
1147,2001-04-25,-48.0,Decrease
1076,2001-04-26,-71.0,Decrease
1000,2001-04-27,-76.0,Decrease
1042,2001-04-30,42.0,Increase
1070,2001-05-01,28.0,Increase
1091,2001-05-02,21.0,Increase
1057,2001-05-03,-34.0,Decrease
1031,2001-05-04,-26.0,Decrease
975,2001-05-07,-56.0,Decrease
990,2001-05-08,15.0,Increase
1008,2001-05-09,18.0,Increase
989,2001-05-10,-19.0,Decrease
1048,2001-05-11,59.0,Increase
1093,2001-05-14,45.0,Increase
1056,2001-05-15,-37.0,Decrease
1007,2001-05-16,-49.0,Decrease
991,2001-05-17,-16.0,Decrease
958,2001-05-18,-33.0,Decrease
930,2001-05-21,-28.0,Decrease
924,2001-05-22,-6.0,Decrease
933,2001-05-23,9.0,Increase
921,2001-05-24,-12.0,Decrease
921,2001-05-25,0.0,No Change
921,2001-05-28,0.0,No Change
925,2001-05-29,4.0,Increase
969,2001-05-30,44.0,Increase
981,2001-05-31,12.0,Increase
1019,2001-06-01,38.0,Increase
955,2001-06-04,-64.0,Decrease
913,2001-06-05,-42.0,Decrease
911,2001-06-06,-2.0,Decrease
889,2001-06-07,-22.0,Decrease
879,2001-06-08,-10.0,Decrease
883,2001-06-11,4.0,Increase
910,2001-06-12,27.0,Increase
922,2001-06-13,12.0,Increase
937,2001-06-14,15.0,Increase
927,2001-06-15,-10.0,Decrease
1000,2001-06-18,73.0,Increase
986,2001-06-19,-14.0,Decrease
975,2001-06-20,-11.0,Decrease
971,2001-06-21,-4.0,Decrease
990,2001-06-22,19.0,Increase
974,2001-06-25,-16.0,Decrease
982,2001-06-26,8.0,Increase
999,2001-06-27,17.0,Increase
1009,2001-06-28,10.0,Increase
1025,2001-06-29,16.0,Increase
1062,2001-07-02,37.0,Increase
1079,2001-07-03,17.0,Increase
1094,2001-07-04,15.0,Increase
1165,2001-07-05,71.0,Increase
1132,2001-07-06,-33.0,Decrease
1158,2001-07-09,26.0,Increase
1217,2001-07-10,59.0,Increase
1290,2001-07-11,73.0,Increase
1519,2001-07-12,229.0,Increase
1616,2001-07-13,97.0,Increase
1629,2001-07-16,13.0,Increase
1439,2001-07-17,-190.0,Decrease
1537,2001-07-18,98.0,Increase
1593,2001-07-19,56.0,Increase
1488,2001-07-20,-105.0,Decrease
1377,2001-07-23,-111.0,Decrease
1415,2001-07-24,38.0,Increase
1390,2001-07-25,-25.0,Decrease
1510,2001-07-26,120.0,Increase
1612,2001-07-27,102.0,Increase
1571,2001-07-30,-41.0,Decrease
1604,2001-07-31,33.0,Increase
1688,2001-08-01,84.0,Increase
1601,2001-08-02,-87.0,Decrease
1557,2001-08-03,-44.0,Decrease
1610,2001-08-06,53.0,Increase
1572,2001-08-07,-38.0,Decrease
1490,2001-08-08,-82.0,Decrease
1466,2001-08-09,-24.0,Decrease
1392,2001-08-10,-74.0,Decrease
1424,2001-08-13,32.0,Increase
1501,2001-08-14,77.0,Increase
1453,2001-08-15,-48.0,Decrease
1393,2001-08-16,-60.0,Decrease
1502,2001-08-17,109.0,Increase
1555,2001-08-20,53.0,Increase
1651,2001-08-21,96.0,Increase
1450,2001-08-22,-201.0,Decrease
1427,2001-08-23,-23.0,Decrease
1443,2001-08-24,16.0,Increase
1457,2001-08-27,14.0,Increase
1414,2001-08-28,-43.0,Decrease
1386,2001-08-29,-28.0,Decrease
1405,2001-08-30,19.0,Increase
1408,2001-08-31,3.0,Increase
1408,2001-09-03,0.0,No Change
1391,2001-09-04,-17.0,Decrease
1392,2001-09-05,1.0,Increase
1455,2001-09-06,63.0,Increase
1489,2001-09-07,34.0,Increase
1486,2001-09-10,-3.0,Decrease
1478,2001-09-11,-8.0,Decrease
1478,2001-09-12,0.0,No Change
1478,2001-09-13,0.0,No Change
1478,2001-09-14,0.0,No Change
1652,2001-09-17,174.0,Increase
1618,2001-09-18,-34.0,Decrease
1592,2001-09-19,-26.0,Decrease
1612,2001-09-20,20.0,Increase
1637,2001-09-21,25.0,Increase
1612,2001-09-24,-25.0,Decrease
1602,2001-09-25,-10.0,Decrease
1639,2001-09-26,37.0,Increase
1647,2001-09-27,8.0,Increase
1595,2001-09-28,-52.0,Decrease
1661,2001-10-01,66.0,Increase
1687,2001-10-02,26.0,Increase
1754,2001-10-03,67.0,Increase
1842,2001-10-04,88.0,Increase
1868,2001-10-05,26.0,Increase
1876,2001-10-08,8.0,Increase
1893,2001-10-09,17.0,Increase
1859,2001-10-10,-34.0,Decrease
1825,2001-10-11,-34.0,Decrease
1832,2001-10-12,7.0,Increase
1824,2001-10-15,-8.0,Decrease
1770,2001-10-16,-54.0,Decrease
1686,2001-10-17,-84.0,Decrease
1727,2001-10-18,41.0,Increase
1693,2001-10-19,-34.0,Decrease
1670,2001-10-22,-23.0,Decrease
1700,2001-10-23,30.0,Increase
1727,2001-10-24,27.0,Increase
1769,2001-10-25,42.0,Increase
1824,2001-10-26,55.0,Increase
2003,2001-10-29,179.0,Increase
2032,2001-10-30,29.0,Increase
2136,2001-10-31,104.0,Increase
2295,2001-11-01,159.0,Increase
2441,2001-11-02,146.0,Increase
2458,2001-11-05,17.0,Increase
2363,2001-11-06,-95.0,Decrease
2354,2001-11-07,-9.0,Decrease
2351,2001-11-08,-3.0,Decrease
2438,2001-11-09,87.0,Increase
2504,2001-11-12,66.0,Increase
2542,2001-11-13,38.0,Increase
2664,2001-11-14,122.0,Increase
2683,2001-11-15,19.0,Increase
2764,2001-11-16,81.0,Increase
2966,2001-11-19,202.0,Increase
3071,2001-11-20,105.0,Increase
3026,2001-11-21,-45.0,Decrease
3028,2001-11-22,2.0,Increase
2961,2001-11-23,-67.0,Decrease
2772,2001-11-26,-189.0,Decrease
2910,2001-11-27,138.0,Increase
2952,2001-11-28,42.0,Increase
3242,2001-11-29,290.0,Increase
3340,2001-11-30,98.0,Increase
3196,2001-12-03,-144.0,Decrease
4040,2001-12-04,844.0,Increase
4020,2001-12-05,-20.0,Decrease
3988,2001-12-06,-32.0,Decrease
4149,2001-12-07,161.0,Increase
4220,2001-12-10,71.0,Increase
4162,2001-12-11,-58.0,Decrease
4044,2001-12-12,-118.0,Decrease
4059,2001-12-13,15.0,Increase
4160,2001-12-14,101.0,Increase
4127,2001-12-17,-33.0,Decrease
4125,2001-12-18,-2.0,Decrease
4212,2001-12-19,87.0,Increase
4449,2001-12-20,237.0,Increase
4722,2001-12-21,273.0,Increase
5083,2001-12-24,361.0,Increase
5495,2001-12-25,412.0,Increase
5470,2001-12-26,-25.0,Decrease
5464,2001-12-27,-6.0,Decrease
5172,2001-12-28,-292.0,Decrease
4404,2001-12-31,-768.0,Decrease
4376,2002-01-02,-28.0,Decrease
4128,2002-01-03,-248.0,Decrease
3983,2002-01-04,-145.0,Decrease
3975,2002-01-07,-8.0,Decrease
4050,2002-01-08,75.0,Increase
4460,2002-01-09,410.0,Increase
4484,2002-01-10,24.0,Increase
4542,2002-01-11,58.0,Increase
4556,2002-01-14,14.0,Increase
4626,2002-01-15,70.0,Increase
4531,2002-01-16,-95.0,Decrease
4581,2002-01-17,50.0,Increase
4656,2002-01-18,75.0,Increase
4553,2002-01-21,-103.0,Decrease
4454,2002-01-22,-99.0,Decrease
4287,2002-01-23,-167.0,Decrease
4210,2002-01-24,-77.0,Decrease
