risk_value,date,daily_variation,percent_change,trend
733,1999-06-24,1.0,0.1366120218579292,Increase
745,1999-06-25,12.0,1.6371077762619368,Increase
770,1999-06-28,25.0,3.3557046979865834,Increase
761,1999-06-29,-9.0,-1.1688311688311637,Decrease
760,1999-06-30,-1.0,-0.13140604467805073,Decrease
777,1999-07-01,17.0,2.2368421052631593,Increase
778,1999-07-02,1.0,0.12870012870012104,Increase
779,1999-07-05,1.0,0.12853470437017567,Increase
781,1999-07-06,2.0,0.25673940949935137,Increase
789,1999-07-07,8.0,1.0243277848911658,Increase
847,1999-07-08,58.0,7.35107731305451,Increase
890,1999-07-09,43.0,5.076741440377797,Increase
947,1999-07-12,57.0,6.404494382022463,Increase
923,1999-07-13,-24.0,-2.5343189017951406,Decrease
870,1999-07-14,-53.0,-5.742145178764901,Decrease
890,1999-07-15,20.0,2.298850574712641,Increase
879,1999-07-16,-11.0,-1.2359550561797716,Decrease
868,1999-07-19,-11.0,-1.2514220705347023,Decrease
882,1999-07-20,14.0,1.6129032258064502,Increase
888,1999-07-21,6.0,0.6802721088435382,Increase
873,1999-07-22,-15.0,-1.6891891891891886,Decrease
885,1999-07-23,12.0,1.3745704467353903,Increase
896,1999-07-26,11.0,1.2429378531073398,Increase
887,1999-07-27,-9.0,-1.0044642857142905,Decrease
873,1999-07-28,-14.0,-1.5783540022547893,Decrease
856,1999-07-29,-17.0,-1.9473081328751474,Decrease
848,1999-07-30,-8.0,-0.9345794392523366,Decrease
874,1999-08-02,26.0,3.0660377358490587,Increase
894,1999-08-03,20.0,2.2883295194507935,Increase
907,1999-08-04,13.0,1.4541387024608499,Increase
909,1999-08-05,2.0,0.22050716648291946,Increase
905,1999-08-06,-4.0,-0.44004400440044167,Decrease
901,1999-08-09,-4.0,-0.44198895027623974,Decrease
900,1999-08-10,-1.0,-0.11098779134295356,Decrease
886,1999-08-11,-14.0,-1.5555555555555545,Decrease
853,1999-08-12,-33.0,-3.724604966139955,Decrease
840,1999-08-13,-13.0,-1.5240328253223967,Decrease
833,1999-08-16,-7.0,-0.8333333333333304,Decrease
808,1999-08-17,-25.0,-3.001200480192079,Decrease
837,1999-08-18,29.0,3.589108910891081,Increase
853,1999-08-19,16.0,1.9115890083632125,Increase
852,1999-08-20,-1.0,-0.11723329425556983,Decrease
845,1999-08-23,-7.0,-0.8215962441314506,Decrease
845,1999-08-24,0.0,0.0,No Change
812,1999-08-25,-33.0,-3.9053254437869778,Decrease
811,1999-08-26,-1.0,-0.12315270935960854,Decrease
789,1999-08-27,-22.0,-2.71270036991369,Decrease
786,1999-08-30,-3.0,-0.38022813688213253,Decrease
764,1999-08-31,-22.0,-2.7989821882951627,Decrease
763,1999-09-01,-1.0,-0.13089005235602524,Decrease
769,1999-09-02,6.0,0.7863695937090354,Increase
765,1999-09-03,-4.0,-0.5201560468140465,Decrease
759,1999-09-06,-6.0,-0.7843137254901933,Decrease
739,1999-09-07,-20.0,-2.6350461133069825,Decrease
734,1999-09-08,-5.0,-0.6765899864682012,Decrease
706,1999-09-09,-28.0,-3.8147138964577665,Decrease
684,1999-09-10,-22.0,-3.116147308781869,Decrease
689,1999-09-13,5.0,0.7309941520467822,Increase
691,1999-09-14,2.0,0.2902757619738683,Increase
704,1999-09-15,13.0,1.8813314037626538,Increase
714,1999-09-16,10.0,1.4204545454545414,Increase
701,1999-09-17,-13.0,-1.8207282913165312,Decrease
687,1999-09-20,-14.0,-1.9971469329529201,Decrease
705,1999-09-21,18.0,2.6200873362445476,Increase
700,1999-09-22,-5.0,-0.7092198581560294,Decrease
694,1999-09-23,-6.0,-0.8571428571428563,Decrease
693,1999-09-24,-1.0,-0.14409221902017544,Decrease
680,1999-09-27,-13.0,-1.8759018759018753,Decrease
681,1999-09-28,1.0,0.14705882352941124,Increase
669,1999-09-29,-12.0,-1.7621145374449365,Decrease
677,1999-09-30,8.0,1.195814648729443,Increase
668,1999-10-01,-9.0,-1.3293943870014813,Decrease
653,1999-10-04,-15.0,-2.2455089820359264,Decrease
658,1999-10-05,5.0,0.7656967840734996,Increase
645,1999-10-06,-13.0,-1.9756838905775065,Decrease
642,1999-10-07,-3.0,-0.46511627906976605,Decrease
645,1999-10-08,3.0,0.4672897196261738,Increase
644,1999-10-11,-1.0,-0.15503875968991832,Decrease
669,1999-10-12,25.0,3.881987577639756,Increase
677,1999-10-13,8.0,1.195814648729443,Increase
672,1999-10-14,-5.0,-0.738552437223039,Decrease
696,1999-10-15,24.0,3.571428571428581,Increase
688,1999-10-18,-8.0,-1.1494252873563204,Decrease
671,1999-10-19,-17.0,-2.470930232558144,Decrease
662,1999-10-20,-9.0,-1.341281669150518,Decrease
639,1999-10-21,-23.0,-3.4743202416918417,Decrease
613,1999-10-22,-26.0,-4.068857589984354,Decrease
620,1999-10-25,7.0,1.1419249592169667,Increase
607,1999-10-26,-13.0,-2.0967741935483897,Decrease
621,1999-10-27,14.0,2.3064250411861664,Increase
564,1999-10-28,-57.0,-9.178743961352653,Decrease
635,1999-10-29,71.0,12.588652482269502,Increase
628,1999-11-01,-7.0,-1.1023622047244053,Decrease
629,1999-11-02,1.0,0.15923566878981443,Increase
633,1999-11-03,4.0,0.6359300476947549,Increase
618,1999-11-04,-15.0,-2.3696682464455,Decrease
